id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
1798a372-4794-456f-bdc4-82918eb549f4,9bb6579a-266e-45b2-8419-2f780ae0abd5,2016-09-01T13:00:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,700,42,742
a6fadac9-0ae8-44c5-a80a-07a5c2f1378f,b23f1104-d7c5-4d21-8349-51ade47a0b22,2016-09-01T07:21:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,700,42,742
5de8b5b7-7f30-4f41-9f32-693f47e4b9ed,a1a4a9ba-f2d6-44ed-b600-40bae3684b3c,2016-09-01T08:09:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,600,36,636
fcb3a0ae-2b15-4373-bd29-bb3729ef4b06,b9e4b2c7-e764-450b-b3a8-12c9713b0d64,2016-09-01T11:03:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,600,36,636
28320b94-d6bb-47df-956d-2ed2e5cd9bea,c750da6d-cf27-4203-a8b5-cd6d6caae835,2016-09-01T16:09:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,1100,65,1165
900567dc-e9be-4763-890f-b3c45c13a065,ee1dff48-4efe-43f8-8b46-b169ba58981a,2016-09-01T07:57:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,700,42,742
a1e81ec6-31ce-4d2f-b1f6-cc76cb3b0464,c84d5290-b061-4699-912d-be260a56822b,2016-09-01T10:25:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,600,36,636
dcfd6560-2453-4e58-9bba-a3a79d2a82c1,375ca543-1e86-4773-b0bb-d2f9b0fba3a4,2016-09-01T12:39:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,500,30,530
efae0c66-ee70-4173-b69b-56152e9a82d6,4b133008-cfbd-4aff-be51-c794f93e0466,2016-09-01T08:32:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,600,36,636
ee2304f0-9937-4e6a-8eb8-a8f2e86d7d50,1504f3f8-c721-4864-b98d-498f2de44cfd,2016-09-01T19:35:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,700,42,742
5cb2076a-3965-419a-aabf-ddc3f8a1a250,b1cce6b4-c5ea-44ed-ae84-42e20f0b4359,2016-09-01T14:20:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,1200,72,1272
3b012d99-97cc-4cb7-9d10-d5b1edc4073d,366dd00d-fb38-4996-957c-377b3f26f7ca,2016-09-01T14:31:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,400,24,424
ec29420f-e2b7-48f9-a90c-a263ca5204be,79e4ee25-0ad6-41a0-831b-083d3ebe1749,2016-09-01T08:08:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,400,24,424
5fa228cc-6adb-4076-b556-f8bae375b065,7997a003-77d5-4081-ab5e-037d3743c9f8,2016-09-01T07:52:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,600,36,636
440a13a6-6dfe-440d-bad5-782f00e4f725,becd027d-8d58-4ebb-acf1-36cc0c84996e,2016-09-01T07:59:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,500,30,530
f8733647-215b-4108-87f2-25687af38707,7d23eba7-e0e6-450e-868b-0eff742b0045,2016-09-01T08:26:00,82b0a6e8-b9d5-4749-ab88-91f3ed50f427,500,30,530
